minute_of_day,diary_minute,tier_code,tier_label,weighted_minutes,share
147,1347,05,Work and work-related activities,861968145,0.00863
147,1347,06,Education,79374548,0.000795
147,1347,08,Professional and personal care services,23470489,0.000235
147,1347,11,Eating and drinking,106058265,0.001062
147,1347,12,"Socializing, relaxing, and leisure",2401581558,0.024043
147,1347,13,"Sports, exercise, and recreation",14996295,0.00015
147,1347,14,Religious and spiritual activities,59067359,0.000591
147,1347,15,Volunteer activities,7824193,0.000078
147,1347,16,Telephone calls,49029845,0.000491
147,1347,18,Traveling,80080711,0.000802
147,1347,50,Insufficient detail,82372497,0.000825
148,1348,01,Personal care (incl. sleep),95847114198,0.959565
148,1348,02,Household activities,168772569,0.00169
148,1348,03,Caring for and helping household members,95034289,0.000951
148,1348,05,Work and work-related activities,861968145,0.00863
148,1348,06,Education,79374548,0.000795
148,1348,08,Professional and personal care services,23470489,0.000235
148,1348,11,Eating and drinking,106058265,0.001062
148,1348,12,"Socializing, relaxing, and leisure",2410805512,0.024136
148,1348,13,"Sports, exercise, and recreation",14996295,0.00015
148,1348,14,Religious and spiritual activities,59067359,0.000591
148,1348,15,Volunteer activities,7824193,0.000078
148,1348,16,Telephone calls,49029845,0.000491
148,1348,18,Traveling,80080711,0.000802
148,1348,50,Insufficient detail,82372497,0.000825
149,1349,01,Personal care (incl. sleep),95847114198,0.959565
149,1349,02,Household activities,168772569,0.00169
149,1349,03,Caring for and helping household members,95034289,0.000951
149,1349,05,Work and work-related activities,861968145,0.00863
149,1349,06,Education,79374548,0.000795
149,1349,08,Professional and personal care services,23470489,0.000235
149,1349,11,Eating and drinking,106058265,0.001062
149,1349,12,"Socializing, relaxing, and leisure",2410805512,0.024136
149,1349,13,"Sports, exercise, and recreation",14996295,0.00015
149,1349,14,Religious and spiritual activities,59067359,0.000591
149,1349,15,Volunteer activities,7824193,0.000078
149,1349,16,Telephone calls,91800360,0.000919
149,1349,18,Traveling,37310196,0.000374
149,1349,50,Insufficient detail,82372497,0.000825
150,1350,01,Personal care (incl. sleep),96111510246,0.962212
150,1350,02,Household activities,179900745,0.001801
150,1350,03,Caring for and helping household members,89997777,0.000901
150,1350,05,Work and work-related activities,849879234,0.008508
150,1350,06,Education,56445407,0.000565
150,1350,08,Professional and personal care services,23470489,0.000235
150,1350,11,Eating and drinking,134279803,0.001344
150,1350,12,"Socializing, relaxing, and leisure",2071746533,0.020741
150,1350,13,"Sports, exercise, and recreation",14996295,0.00015
150,1350,14,Religious and spiritual activities,53536511,0.000536
150,1350,15,Volunteer activities,7824193,0.000078
150,1350,16,Telephone calls,83465329,0.000836
150,1350,18,Traveling,117862174,0.00118
150,1350,50,Insufficient detail,91054179,0.000912
151,1351,01,Personal care (incl. sleep),96111510246,0.962212
151,1351,02,Household activities,179900745,0.001801
151,1351,03,Caring for and helping household members,89997777,0.000901
151,1351,05,Work and work-related activities,849879234,0.008508
151,1351,06,Education,56445407,0.000565
151,1351,08,Professional and personal care services,23470489,0.000235
151,1351,11,Eating and drinking,134279803,0.001344
151,1351,12,"Socializing, relaxing, and leisure",2071746533,0.020741
151,1351,13,"Sports, exercise, and recreation",14996295,0.00015
151,1351,14,Religious and spiritual activities,53536511,0.000536
151,1351,15,Volunteer activities,7824193,0.000078
151,1351,16,Telephone calls,83465329,0.000836
151,1351,18,Traveling,117862174,0.00118
151,1351,50,Insufficient detail,91054179,0.000912
152,1352,01,Personal care (incl. sleep),96134640130,0.962444
152,1352,02,Household activities,179900745,0.001801
152,1352,03,Caring for and helping household members,89997777,0.000901
152,1352,05,Work and work-related activities,849879234,0.008508
152,1352,06,Education,56445407,0.000565
152,1352,08,Professional and personal care services,23470489,0.000235
152,1352,11,Eating and drinking,134279803,0.001344
152,1352,12,"Socializing, relaxing, and leisure",2048616648,0.02051
152,1352,13,"Sports, exercise, and recreation",14996295,0.00015
152,1352,14,Religious and spiritual activities,53536511,0.000536
152,1352,15,Volunteer activities,7824193,0.000078
152,1352,16,Telephone calls,83465329,0.000836
152,1352,18,Traveling,117862174,0.00118
152,1352,50,Insufficient detail,91054179,0.000912
153,1353,01,Personal care (incl. sleep),96134640130,0.962444
153,1353,02,Household activities,179900745,0.001801
153,1353,03,Caring for and helping household members,89997777,0.000901
153,1353,05,Work and work-related activities,849879234,0.008508
153,1353,06,Education,56445407,0.000565
153,1353,08,Professional and personal care services,23470489,0.000235
153,1353,11,Eating and drinking,134279803,0.001344
153,1353,12,"Socializing, relaxing, and leisure",2048616648,0.02051
153,1353,13,"Sports, exercise, and recreation",14996295,0.00015
153,1353,14,Religious and spiritual activities,53536511,0.000536
153,1353,15,Volunteer activities,7824193,0.000078
153,1353,16,Telephone calls,83465329,0.000836
153,1353,18,Traveling,117862174,0.00118
153,1353,50,Insufficient detail,91054179,0.000912
154,1354,01,Personal care (incl. sleep),96134640130,0.962444
154,1354,02,Household activities,179900745,0.001801
154,1354,03,Caring for and helping household members,89997777,0.000901
154,1354,05,Work and work-related activities,849879234,0.008508
154,1354,06,Education,56445407,0.000565
154,1354,08,Professional and personal care services,23470489,0.000235
154,1354,11,Eating and drinking,134279803,0.001344
154,1354,12,"Socializing, relaxing, and leisure",2048616648,0.02051
154,1354,13,"Sports, exercise, and recreation",14996295,0.00015
154,1354,14,Religious and spiritual activities,53536511,0.000536
154,1354,15,Volunteer activities,7824193,0.000078
154,1354,16,Telephone calls,83465329,0.000836
154,1354,18,Traveling,117862174,0.00118
154,1354,50,Insufficient detail,91054179,0.000912
155,1355,01,Personal care (incl. sleep),96120143147,0.962299
155,1355,02,Household activities,192116896,0.001923
155,1355,03,Caring for and helping household members,89997777,0.000901
155,1355,05,Work and work-related activities,849879234,0.008508
155,1355,06,Education,56445407,0.000565
155,1355,08,Professional and personal care services,23470489,0.000235
155,1355,11,Eating and drinking,120233957,0.001204
155,1355,12,"Socializing, relaxing, and leisure",2016612758,0.020189
155,1355,13,"Sports, exercise, and recreation",14996295,0.00015
155,1355,14,Religious and spiritual activities,53536511,0.000536
155,1355,15,Volunteer activities,7824193,0.000078
155,1355,16,Telephone calls,83465329,0.000836
155,1355,18,Traveling,166192742,0.001664
155,1355,50,Insufficient detail,91054179,0.000912
156,1356,01,Personal care (incl. sleep),96120143147,0.962299
156,1356,02,Household activities,192116896,0.001923
156,1356,03,Caring for and helping household members,89997777,0.000901
156,1356,05,Work and work-related activities,849879234,0.008508
156,1356,06,Education,56445407,0.000565
156,1356,08,Professional and personal care services,23470489,0.000235
156,1356,11,Eating and drinking,120233957,0.001204
156,1356,12,"Socializing, relaxing, and leisure",2016612758,0.020189
156,1356,13,"Sports, exercise, and recreation",14996295,0.00015
156,1356,14,Religious and spiritual activities,53536511,0.000536
156,1356,15,Volunteer activities,7824193,0.000078
156,1356,16,Telephone calls,83465329,0.000836
156,1356,18,Traveling,166192742,0.001664
156,1356,50,Insufficient detail,91054179,0.000912
157,1357,01,Personal care (incl. sleep),96120143147,0.962299
157,1357,02,Household activities,192116896,0.001923
157,1357,03,Caring for and helping household members,89997777,0.000901
157,1357,05,Work and work-related activities,849879234,0.008508
157,1357,06,Education,56445407,0.000565
157,1357,08,Professional and personal care services,23470489,0.000235
157,1357,11,Eating and drinking,120233957,0.001204
157,1357,12,"Socializing, relaxing, and leisure",2016612758,0.020189
157,1357,13,"Sports, exercise, and recreation",14996295,0.00015
157,1357,14,Religious and spiritual activities,53536511,0.000536
157,1357,15,Volunteer activities,7824193,0.000078
157,1357,16,Telephone calls,83465329,0.000836
157,1357,18,Traveling,166192742,0.001664
157,1357,50,Insufficient detail,91054179,0.000912
158,1358,01,Personal care (incl. sleep),96120143147,0.962299
158,1358,02,Household activities,192116896,0.001923
158,1358,03,Caring for and helping household members,89997777,0.000901
158,1358,05,Work and work-related activities,849879234,0.008508
158,1358,06,Education,56445407,0.000565
158,1358,07,Consumer purchases,45314289,0.000454
158,1358,08,Professional and personal care services,23470489,0.000235
158,1358,11,Eating and drinking,120233957,0.001204
158,1358,12,"Socializing, relaxing, and leisure",2016612758,0.020189
158,1358,13,"Sports, exercise, and recreation",14996295,0.00015
158,1358,14,Religious and spiritual activities,53536511,0.000536
158,1358,15,Volunteer activities,7824193,0.000078
158,1358,16,Telephone calls,83465329,0.000836
158,1358,18,Traveling,120878453,0.00121
158,1358,50,Insufficient detail,91054179,0.000912
159,1359,01,Personal care (incl. sleep),96120143147,0.962299
159,1359,02,Household activities,192116896,0.001923
159,1359,03,Caring for and helping household members,89997777,0.000901
159,1359,05,Work and work-related activities,849879234,0.008508
159,1359,06,Education,56445407,0.000565
159,1359,07,Consumer purchases,45314289,0.000454
159,1359,08,Professional and personal care services,23470489,0.000235
159,1359,11,Eating and drinking,120233957,0.001204
159,1359,12,"Socializing, relaxing, and leisure",2016612758,0.020189
159,1359,13,"Sports, exercise, and recreation",14996295,0.00015
159,1359,14,Religious and spiritual activities,53536511,0.000536
159,1359,15,Volunteer activities,7824193,0.000078
159,1359,16,Telephone calls,83465329,0.000836
159,1359,18,Traveling,120878453,0.00121
159,1359,50,Insufficient detail,91054179,0.000912
160,1360,01,Personal care (incl. sleep),96150693422,0.962605
160,1360,02,Household activities,181278617,0.001815
160,1360,03,Caring for and helping household members,65147706,0.000652
160,1360,05,Work and work-related activities,857312509,0.008583
160,1360,06,Education,56445407,0.000565
160,1360,07,Consumer purchases,45314289,0.000454
160,1360,08,Professional and personal care services,23470489,0.000235
160,1360,11,Eating and drinking,131072236,0.001312
160,1360,12,"Socializing, relaxing, and leisure",1986878286,0.019891
160,1360,13,"Sports, exercise, and recreation",14996295,0.00015
160,1360,14,Religious and spiritual activities,53536511,0.000536
160,1360,15,Volunteer activities,7824193,0.000078
160,1360,16,Telephone calls,83465329,0.000836
160,1360,18,Traveling,137479447,0.001376
160,1360,50,Insufficient detail,91054179,0.000912
161,1361,01,Personal care (incl. sleep),96150693422,0.962605
161,1361,02,Household activities,181278617,0.001815
161,1361,03,Caring for and helping household members,65147706,0.000652
161,1361,05,Work and work-related activities,857312509,0.008583
161,1361,06,Education,56445407,0.000565
161,1361,07,Consumer purchases,55195128,0.000553
161,1361,08,Professional and personal care services,23470489,0.000235
161,1361,11,Eating and drinking,131072236,0.001312
161,1361,12,"Socializing, relaxing, and leisure",1986878286,0.019891
161,1361,13,"Sports, exercise, and recreation",14996295,0.00015
161,1361,14,Religious and spiritual activities,53536511,0.000536
161,1361,15,Volunteer activities,7824193,0.000078
161,1361,16,Telephone calls,83465329,0.000836
161,1361,18,Traveling,127598607,0.001277
161,1361,50,Insufficient detail,91054179,0.000912
162,1362,01,Personal care (incl. sleep),96167741396,0.962775
162,1362,02,Household activities,181278617,0.001815
162,1362,03,Caring for and helping household members,57980571,0.00058
162,1362,05,Work and work-related activities,857312509,0.008583
162,1362,06,Education,56445407,0.000565
162,1362,07,Consumer purchases,45314289,0.000454
162,1362,08,Professional and personal care services,23470489,0.000235
162,1362,11,Eating and drinking,131072236,0.001312
162,1362,12,"Socializing, relaxing, and leisure",1986878286,0.019891
162,1362,13,"Sports, exercise, and recreation",14996295,0.00015
162,1362,14,Religious and spiritual activities,53536511,0.000536
162,1362,15,Volunteer activities,7824193,0.000078
162,1362,16,Telephone calls,83465329,0.000836
162,1362,18,Traveling,127598607,0.001277
162,1362,50,Insufficient detail,91054179,0.000912
163,1363,01,Personal care (incl. sleep),96188605652,0.962984
163,1363,02,Household activities,181278617,0.001815
163,1363,03,Caring for and helping household members,57980571,0.00058
163,1363,05,Work and work-related activities,857312509,0.008583
163,1363,06,Education,56445407,0.000565
163,1363,07,Consumer purchases,45314289,0.000454
163,1363,08,Professional and personal care services,23470489,0.000235
163,1363,11,Eating and drinking,131072236,0.001312
163,1363,12,"Socializing, relaxing, and leisure",1966014029,0.019683
163,1363,13,"Sports, exercise, and recreation",14996295,0.00015
163,1363,14,Religious and spiritual activities,53536511,0.000536
163,1363,15,Volunteer activities,7824193,0.000078
163,1363,16,Telephone calls,83465329,0.000836
163,1363,18,Traveling,127598607,0.001277
163,1363,50,Insufficient detail,91054179,0.000912
164,1364,01,Personal care (incl. sleep),96188605652,0.962984
164,1364,02,Household activities,181278617,0.001815
164,1364,03,Caring for and helping household members,57980571,0.00058
164,1364,05,Work and work-related activities,857312509,0.008583
164,1364,06,Education,56445407,0.000565
164,1364,07,Consumer purchases,45314289,0.000454
164,1364,08,Professional and personal care services,23470489,0.000235
164,1364,11,Eating and drinking,131072236,0.001312
164,1364,12,"Socializing, relaxing, and leisure",1966014029,0.019683
164,1364,13,"Sports, exercise, and recreation",14996295,0.00015
164,1364,14,Religious and spiritual activities,53536511,0.000536
164,1364,15,Volunteer activities,7824193,0.000078
164,1364,16,Telephone calls,83465329,0.000836
164,1364,18,Traveling,127598607,0.001277
164,1364,50,Insufficient detail,91054179,0.000912
165,1365,01,Personal care (incl. sleep),96196330452,0.963061
165,1365,02,Household activities,167893161,0.001681
165,1365,03,Caring for and helping household members,72682793,0.000728
165,1365,05,Work and work-related activities,882766909,0.008838
165,1365,06,Education,56445407,0.000565
165,1365,08,Professional and personal care services,23470489,0.000235
165,1365,11,Eating and drinking,126659292,0.001268
165,1365,12,"Socializing, relaxing, and leisure",1933394124,0.019356
165,1365,13,"Sports, exercise, and recreation",14996295,0.00015
165,1365,14,Religious and spiritual activities,65892319,0.00066
165,1365,15,Volunteer activities,7824193,0.000078
165,1365,16,Telephone calls,83465329,0.000836
165,1365,18,Traveling,163093973,0.001633
165,1365,50,Insufficient detail,91054179,0.000912
166,1366,01,Personal care (incl. sleep),96196330452,0.963061
166,1366,02,Household activities,167893161,0.001681
166,1366,03,Caring for and helping household members,72682793,0.000728
166,1366,05,Work and work-related activities,882766909,0.008838
166,1366,06,Education,56445407,0.000565
166,1366,08,Professional and personal care services,23470489,0.000235
166,1366,11,Eating and drinking,126659292,0.001268
166,1366,12,"Socializing, relaxing, and leisure",1933394124,0.019356
166,1366,13,"Sports, exercise, and recreation",14996295,0.00015
166,1366,14,Religious and spiritual activities,65892319,0.00066
166,1366,15,Volunteer activities,7824193,0.000078
166,1366,16,Telephone calls,83465329,0.000836
166,1366,18,Traveling,163093973,0.001633
166,1366,50,Insufficient detail,91054179,0.000912
167,1367,01,Personal care (incl. sleep),96196330452,0.963061
167,1367,02,Household activities,167893161,0.001681
167,1367,03,Caring for and helping household members,72682793,0.000728
167,1367,05,Work and work-related activities,882766909,0.008838
167,1367,06,Education,56445407,0.000565
167,1367,08,Professional and personal care services,23470489,0.000235
167,1367,11,Eating and drinking,126659292,0.001268
167,1367,12,"Socializing, relaxing, and leisure",1933394124,0.019356
167,1367,13,"Sports, exercise, and recreation",14996295,0.00015
167,1367,14,Religious and spiritual activities,65892319,0.00066
167,1367,15,Volunteer activities,7824193,0.000078
167,1367,16,Telephone calls,83465329,0.000836
167,1367,18,Traveling,163093973,0.001633
167,1367,50,Insufficient detail,91054179,0.000912
168,1368,01,Personal care (incl. sleep),96179204216,0.96289
168,1368,02,Household activities,167893161,0.001681
168,1368,03,Caring for and helping household members,87839810,0.000879
168,1368,05,Work and work-related activities,882766909,0.008838
168,1368,06,Education,56445407,0.000565
168,1368,08,Professional and personal care services,23470489,0.000235
168,1368,11,Eating and drinking,126659292,0.001268
168,1368,12,"Socializing, relaxing, and leisure",1918237107,0.019204
168,1368,13,"Sports, exercise, and recreation",14996295,0.00015
168,1368,14,Religious and spiritual activities,65892319,0.00066
168,1368,15,Volunteer activities,7824193,0.000078
168,1368,16,Telephone calls,83465329,0.000836
168,1368,18,Traveling,163093973,0.001633
168,1368,50,Insufficient detail,108180415,0.001083
169,1369,01,Personal care (incl. sleep),96179204216,0.96289
169,1369,02,Household activities,167893161,0.001681
169,1369,03,Caring for and helping household members,87839810,0.000879
169,1369,05,Work and work-related activities,882766909,0.008838
169,1369,06,Education,56445407,0.000565
169,1369,08,Professional and personal care services,23470489,0.000235
169,1369,11,Eating and drinking,126659292,0.001268
169,1369,12,"Socializing, relaxing, and leisure",1918237107,0.019204
169,1369,13,"Sports, exercise, and recreation",14996295,0.00015
169,1369,14,Religious and spiritual activities,65892319,0.00066
169,1369,15,Volunteer activities,7824193,0.000078
169,1369,16,Telephone calls,83465329,0.000836
169,1369,18,Traveling,163093973,0.001633
169,1369,50,Insufficient detail,108180415,0.001083
170,1370,01,Personal care (incl. sleep),96208249930,0.963181
170,1370,02,Household activities,156663371,0.001568
170,1370,03,Caring for and helping household members,76417869,0.000765
170,1370,05,Work and work-related activities,876372927,0.008774
170,1370,06,Education,56445407,0.000565
170,1370,08,Professional and personal care services,23470489,0.000235
170,1370,11,Eating and drinking,126659292,0.001268
170,1370,12,"Socializing, relaxing, and leisure",1918237107,0.019204
170,1370,13,"Sports, exercise, and recreation",14996295,0.00015
170,1370,14,Religious and spiritual activities,65892319,0.00066
170,1370,15,Volunteer activities,7824193,0.000078
170,1370,16,Telephone calls,83465329,0.000836
170,1370,18,Traveling,163093973,0.001633
170,1370,50,Insufficient detail,108180415,0.001083
171,1371,01,Personal care (incl. sleep),96208249930,0.963181
171,1371,02,Household activities,156663371,0.001568
171,1371,03,Caring for and helping household members,76417869,0.000765
171,1371,05,Work and work-related activities,876372927,0.008774
171,1371,06,Education,56445407,0.000565
171,1371,08,Professional and personal care services,23470489,0.000235
171,1371,11,Eating and drinking,126659292,0.001268
171,1371,12,"Socializing, relaxing, and leisure",1918237107,0.019204
171,1371,13,"Sports, exercise, and recreation",14996295,0.00015
171,1371,14,Religious and spiritual activities,65892319,0.00066
171,1371,15,Volunteer activities,7824193,0.000078
171,1371,16,Telephone calls,83465329,0.000836
171,1371,18,Traveling,163093973,0.001633
171,1371,50,Insufficient detail,108180415,0.001083
172,1372,01,Personal care (incl. sleep),96163321224,0.962731
172,1372,02,Household activities,161327869,0.001615
172,1372,03,Caring for and helping household members,76417869,0.000765
172,1372,05,Work and work-related activities,876372927,0.008774
172,1372,06,Education,56445407,0.000565
172,1372,08,Professional and personal care services,23470489,0.000235
172,1372,11,Eating and drinking,146239489,0.001464
172,1372,12,"Socializing, relaxing, and leisure",1938921117,0.019411
172,1372,13,"Sports, exercise, and recreation",14996295,0.00015
172,1372,14,Religious and spiritual activities,65892319,0.00066
172,1372,15,Volunteer activities,7824193,0.000078
172,1372,16,Telephone calls,83465329,0.000836
172,1372,18,Traveling,163093973,0.001633
172,1372,50,Insufficient detail,108180415,0.001083
173,1373,01,Personal care (incl. sleep),96156927242,0.962667
173,1373,02,Household activities,161327869,0.001615
173,1373,03,Caring for and helping household members,76417869,0.000765
173,1373,05,Work and work-related activities,876372927,0.008774
173,1373,06,Education,56445407,0.000565
173,1373,08,Professional and personal care services,23470489,0.000235
173,1373,11,Eating and drinking,146239489,0.001464
173,1373,12,"Socializing, relaxing, and leisure",1938921117,0.019411
173,1373,13,"Sports, exercise, and recreation",14996295,0.00015
173,1373,14,Religious and spiritual activities,65892319,0.00066
173,1373,15,Volunteer activities,7824193,0.000078
173,1373,16,Telephone calls,83465329,0.000836
173,1373,18,Traveling,169487955,0.001697
173,1373,50,Insufficient detail,108180415,0.001083
174,1374,01,Personal care (incl. sleep),96161591740,0.962714
174,1374,02,Household activities,156663371,0.001568
174,1374,03,Caring for and helping household members,76417869,0.000765
174,1374,05,Work and work-related activities,876372927,0.008774
174,1374,06,Education,56445407,0.000565
174,1374,08,Professional and personal care services,23470489,0.000235
174,1374,11,Eating and drinking,146239489,0.001464
174,1374,12,"Socializing, relaxing, and leisure",1938921117,0.019411
174,1374,13,"Sports, exercise, and recreation",14996295,0.00015
174,1374,14,Religious and spiritual activities,65892319,0.00066
174,1374,15,Volunteer activities,7824193,0.000078
174,1374,16,Telephone calls,83465329,0.000836
174,1374,18,Traveling,169487955,0.001697
174,1374,50,Insufficient detail,108180415,0.001083
175,1375,01,Personal care (incl. sleep),96277866072,0.963878
175,1375,02,Household activities,166269208,0.001665
175,1375,03,Caring for and helping household members,76417869,0.000765
175,1375,05,Work and work-related activities,876372927,0.008774
175,1375,06,Education,56445407,0.000565
175,1375,08,Professional and personal care services,23470489,0.000235
175,1375,11,Eating and drinking,146239489,0.001464
175,1375,12,"Socializing, relaxing, and leisure",1813040948,0.018151
175,1375,13,"Sports, exercise, and recreation",14996295,0.00015
175,1375,14,Religious and spiritual activities,65892319,0.00066
175,1375,15,Volunteer activities,7824193,0.000078
175,1375,16,Telephone calls,83465329,0.000836
175,1375,18,Traveling,169487955,0.001697
175,1375,50,Insufficient detail,108180415,0.001083
176,1376,01,Personal care (incl. sleep),96277866072,0.963878
176,1376,02,Household activities,166269208,0.001665
176,1376,03,Caring for and helping household members,76417869,0.000765
176,1376,05,Work and work-related activities,876372927,0.008774
176,1376,06,Education,56445407,0.000565
176,1376,08,Professional and personal care services,23470489,0.000235
176,1376,11,Eating and drinking,146239489,0.001464
176,1376,12,"Socializing, relaxing, and leisure",1813040948,0.018151
176,1376,13,"Sports, exercise, and recreation",14996295,0.00015
176,1376,14,Religious and spiritual activities,65892319,0.00066
176,1376,15,Volunteer activities,7824193,0.000078
176,1376,16,Telephone calls,83465329,0.000836
176,1376,18,Traveling,169487955,0.001697
176,1376,50,Insufficient detail,108180415,0.001083
177,1377,01,Personal care (incl. sleep),96281286274,0.963912
177,1377,02,Household activities,166269208,0.001665
177,1377,03,Caring for and helping household members,76417869,0.000765
177,1377,05,Work and work-related activities,876372927,0.008774
177,1377,06,Education,56445407,0.000565
177,1377,08,Professional and personal care services,23470489,0.000235
177,1377,11,Eating and drinking,156120329,0.001563
177,1377,12,"Socializing, relaxing, and leisure",1799739906,0.018018
177,1377,13,"Sports, exercise, and recreation",14996295,0.00015
177,1377,14,Religious and spiritual activities,65892319,0.00066
177,1377,15,Volunteer activities,7824193,0.000078
177,1377,16,Telephone calls,83465329,0.000836
177,1377,18,Traveling,169487955,0.001697
177,1377,50,Insufficient detail,108180415,0.001083
178,1378,01,Personal care (incl. sleep),96281286274,0.963912
178,1378,02,Household activities,166269208,0.001665
178,1378,03,Caring for and helping household members,76417869,0.000765
178,1378,05,Work and work-related activities,876372927,0.008774
178,1378,06,Education,56445407,0.000565
178,1378,08,Professional and personal care services,23470489,0.000235
178,1378,11,Eating and drinking,156120329,0.001563
178,1378,12,"Socializing, relaxing, and leisure",1799739906,0.018018
178,1378,13,"Sports, exercise, and recreation",14996295,0.00015
178,1378,14,Religious and spiritual activities,65892319,0.00066
178,1378,15,Volunteer activities,7824193,0.000078
178,1378,16,Telephone calls,83465329,0.000836
178,1378,18,Traveling,169487955,0.001697
178,1378,50,Insufficient detail,108180415,0.001083
179,1379,01,Personal care (incl. sleep),96281286274,0.963912
179,1379,02,Household activities,166269208,0.001665
179,1379,03,Caring for and helping household members,76417869,0.000765
179,1379,05,Work and work-related activities,876372927,0.008774
179,1379,06,Education,56445407,0.000565
179,1379,08,Professional and personal care services,23470489,0.000235
179,1379,11,Eating and drinking,156120329,0.001563
179,1379,12,"Socializing, relaxing, and leisure",1799739906,0.018018
179,1379,13,"Sports, exercise, and recreation",14996295,0.00015
179,1379,14,Religious and spiritual activities,65892319,0.00066
179,1379,15,Volunteer activities,7824193,0.000078
179,1379,16,Telephone calls,83465329,0.000836
179,1379,18,Traveling,169487955,0.001697
179,1379,50,Insufficient detail,108180415,0.001083
180,1380,01,Personal care (incl. sleep),96294132153,0.964041
180,1380,02,Household activities,356024017,0.003564
180,1380,03,Caring for and helping household members,141756350,0.001419
180,1380,05,Work and work-related activities,842903156,0.008439
180,1380,06,Education,29088199,0.000291
180,1380,08,Professional and personal care services,23470489,0.000235
180,1380,11,Eating and drinking,125414076,0.001256
180,1380,12,"Socializing, relaxing, and leisure",1517810001,0.015195
180,1380,13,"Sports, exercise, and recreation",14396110,0.000144
180,1380,14,Religious and spiritual activities,96001759,0.000961
180,1380,15,Volunteer activities,7824193,0.000078
180,1380,16,Telephone calls,107332363,0.001075
180,1380,18,Traveling,219335467,0.002196
180,1380,50,Insufficient detail,110480583,0.001106
181,1381,01,Personal care (incl. sleep),96294132153,0.964041
181,1381,02,Household activities,349671012,0.003501
181,1381,03,Caring for and helping household members,141756350,0.001419
181,1381,05,Work and work-related activities,842903156,0.008439
181,1381,06,Education,29088199,0.000291
181,1381,08,Professional and personal care services,23470489,0.000235
181,1381,11,Eating and drinking,131767081,0.001319
181,1381,12,"Socializing, relaxing, and leisure",1517810001,0.015195
181,1381,13,"Sports, exercise, and recreation",14396110,0.000144
181,1381,14,Religious and spiritual activities,96001759,0.000961
181,1381,15,Volunteer activities,7824193,0.000078
181,1381,16,Telephone calls,107332363,0.001075
181,1381,18,Traveling,219335467,0.002196
181,1381,50,Insufficient detail,110480583,0.001106
182,1382,01,Personal care (incl. sleep),96290231386,0.964002
182,1382,02,Household activities,349671012,0.003501
182,1382,03,Caring for and helping household members,141756350,0.001419
182,1382,05,Work and work-related activities,842903156,0.008439
182,1382,06,Education,29088199,0.000291
182,1382,07,Consumer purchases,3900767,0.000039
182,1382,08,Professional and personal care services,23470489,0.000235
182,1382,11,Eating and drinking,131767081,0.001319
182,1382,12,"Socializing, relaxing, and leisure",1517810001,0.015195
182,1382,13,"Sports, exercise, and recreation",14396110,0.000144
182,1382,14,Religious and spiritual activities,96001759,0.000961
182,1382,15,Volunteer activities,7824193,0.000078
182,1382,16,Telephone calls,107332363,0.001075
182,1382,18,Traveling,219335467,0.002196
182,1382,50,Insufficient detail,110480583,0.001106
183,1383,01,Personal care (incl. sleep),96298413441,0.964083
183,1383,02,Household activities,345517837,0.003459
183,1383,03,Caring for and helping household members,141756350,0.001419
183,1383,05,Work and work-related activities,842903156,0.008439
183,1383,06,Education,29088199,0.000291
183,1383,07,Consumer purchases,3900767,0.000039
183,1383,08,Professional and personal care services,23470489,0.000235
183,1383,11,Eating and drinking,127738201,0.001279
183,1383,12,"Socializing, relaxing, and leisure",1517810001,0.015195
183,1383,13,"Sports, exercise, and recreation",14396110,0.000144
183,1383,14,Religious and spiritual activities,96001759,0.000961
183,1383,15,Volunteer activities,7824193,0.000078
183,1383,16,Telephone calls,107332363,0.001075
183,1383,18,Traveling,219335467,0.002196
183,1383,50,Insufficient detail,110480583,0.001106
184,1384,01,Personal care (incl. sleep),96288332161,0.963983
184,1384,02,Household activities,345517837,0.003459
184,1384,03,Caring for and helping household members,141756350,0.001419
184,1384,05,Work and work-related activities,842903156,0.008439
184,1384,06,Education,29088199,0.000291
184,1384,07,Consumer purchases,3900767,0.000039
184,1384,08,Professional and personal care services,23470489,0.000235
184,1384,11,Eating and drinking,127738201,0.001279
184,1384,12,"Socializing, relaxing, and leisure",1527891281,0.015296
184,1384,13,"Sports, exercise, and recreation",14396110,0.000144
184,1384,14,Religious and spiritual activities,96001759,0.000961
184,1384,15,Volunteer activities,7824193,0.000078
184,1384,16,Telephone calls,107332363,0.001075
184,1384,18,Traveling,219335467,0.002196
184,1384,50,Insufficient detail,110480583,0.001106
185,1385,01,Personal care (incl. sleep),96319475919,0.964294
185,1385,02,Household activities,301220124,0.003016
185,1385,03,Caring for and helping household members,141756350,0.001419
185,1385,05,Work and work-related activities,842903156,0.008439
185,1385,06,Education,29088199,0.000291
185,1385,07,Consumer purchases,3900767,0.000039
185,1385,08,Professional and personal care services,23470489,0.000235
185,1385,11,Eating and drinking,171745710,0.001719
185,1385,12,"Socializing, relaxing, and leisure",1554071739,0.015558
185,1385,13,"Sports, exercise, and recreation",14396110,0.000144
185,1385,14,Religious and spiritual activities,74036263,0.000741
185,1385,15,Volunteer activities,7824193,0.000078
185,1385,16,Telephone calls,116271355,0.001164
185,1385,18,Traveling,158691696,0.001589
185,1385,50,Insufficient detail,127116846,0.001273
186,1386,01,Personal care (incl. sleep),96319475919,0.964294
186,1386,02,Household activities,307573129,0.003079
186,1386,03,Caring for and helping household members,141756350,0.001419
